ID,ResponseID,StartDate,Condition,ModelBonus,ModelAAEEstimate,HumanAAEEstimate,ModelConfidence,HumanConfidence,Age,Gender,Education,AAE,ModelAAE,HumanAAE,Bonus,BonusFromModel,BonusFromHuman,ChangesUsed,ChangesUsedMax10,CorrelationWithModel,AvDiffFromModel,AvAdjustmentSize,AdjustmentDividedByPotential,HumModelCorrelation,HumModelAvDiff,AvgLargest10Changes,Treatment,AnyBonus
1,R_001Wm8R0FdXRf1z,21/10/2014 15:20,2,1,17.5,17,2,2,30,1,6,15.55,15.5,15.55,2,2,2,.,.,0.999902814,0.05,1,0.05,0.999902814,0.05,0.1,1,1
2,R_0027STABDdRYX5j,23/10/2014 12:38,4,.,50,50,2,2,60,0,6,26.15,18.3,26.15,0,2,0,.,.,0.87902534,10.15,13.53333333,10.15,0.87902534,10.15,17.4,1,0
3,R_003qKcPcTSRTE4l,23/10/2014 12:22,2,0,17.5,20,3,3,21,1,3,23.8,22.35,23.8,1,1,1,.,.,0.738538565,18.05,18.05,18.05,0.738538565,18.05,26.2,1,1
4,R_00BkdXSdnXJeALj,22/10/2014 15:28,3,1,12,8,2,3,19,0,2,16.55,19.45,16.55,2,2,2,10,10,0.887364498,5,10,10,0.887364498,5,10,1,1
5,R_01UAmruNbvpIdal,22/10/2014 13:32,2,1,10,7,3,2,20,0,3,20.3,19.5,20.3,1,2,1,.,.,0.97432918,5.1,5.1,5.1,0.97432918,5.1,6.6,1,1
6,R_02mp3ibFKi16aPz,21/10/2014 14:18,3,1,7,15,4,3,20,0,2,20.45,17.35,20.45,1,2,1,10,10,0.902952342,4.9,9.8,9.8,0.902952342,4.9,9.8,1,1
7,R_07IKNFoCZyrbbIp,21/10/2014 15:41,1,1,47,36,4,2,33,1,2,15.85,15.85,28.9,2,2,0,.,.,1,0,0,0,0.319378961,16.15,0,0,1
8,R_08r8I42NX5bTUMJ,20/10/2014 13:34,4,.,5,10,2,2,18,1,3,22.7,17.35,22.7,1,2,1,.,.,0.852547827,10.45,11,10.45,0.852547827,10.45,16.8,1,1
9,R_09hUNvzepGROn0F,20/10/2014 12:33,2,1,5,40,4,2,21,0,3,17.45,18.15,17.45,2,2,2,.,.,0.946577303,4.7,4.947368421,4.7,0.946577303,4.7,7,1,1
10,R_0Bs1LWpJo9C2WDX,20/10/2014 15:31,4,.,10,5,1,2,22,1,2,22.8,15.85,22.8,1,2,1,.,.,0.821510049,12.15,12.78947368,12.15,0.821510049,12.15,19.6,1,1
